brand_name,model_name,starting_price,body_type,engine-cc,mileage
Ford,Endeavour,₹ 29.55 Lakh*,SUV,1996.0,13.9
Ford,Mustang,₹ 74.62 Lakh*,Coupe,4951.0,13.0
Nissan,Micra Active,₹ 5.28 Lakh*,Hatchback,1198.0,19.69
Nissan,Micra,₹ 6.66 Lakh*,Hatchback,1461.0,23.19
Nissan,Sunny,₹ 7.07 Lakh*,Sedans,1498.0,17.5
Nissan,Kicks,₹ 9.55 Lakh*,Hatchback,1461.0,20.45
Nissan,Terrano,₹ 9.99 Lakh*,SUV,1461.0,19.61
Nissan,GT-R,₹ 2.12 Cr*,Coupe,3798.0,9.0
Datsun,redi-GO,₹ 2.82 Lakh*,Hatchback,999.0,23.0
Datsun,GO,₹ 3.77 Lakh*,Hatchback,1198.0,20.07
Datsun,GO Plus,₹ 4.15 Lakh*,MUV,1198.0,19.41
Toyota,Etios Liva,₹ 5.34 Lakh*,Hatchback,1364.0,23.59
Toyota,Etios Cross,₹ 6.5 Lakh*,Hatchback,1364.0,23.59
Toyota,Platinum Etios,₹ 6.5 Lakh*,Sedans,1364.0,23.59
Toyota,Glanza,₹ 6.97 Lakh*,Hatchback,1197.0,19.56
Toyota,Yaris,₹ 8.76 Lakh*,Hatchback,1496.0,17.8
Toyota,Innova Crysta,₹ 15.36 Lakh*,MUV,2393.0,13.68
Toyota,Corolla Altis,₹ 16.45 Lakh*,Sedans,1798.0,14.28
Toyota,Fortuner,₹ 28.18 Lakh*,SUV,2755.0,15.04
Toyota,Camry,₹ 37.88 Lakh*,Sedans,2487.0,19.16
Toyota,Prius,₹ 45.09 Lakh*,Hybrids,1798.0,26.27
Toyota,Vellfire,₹ 79.5 Lakh*,MUV,2494.0,0.0
MG,Hector,₹ 12.73 Lakh*,SUV,1451.0,13.96
MG,ZS EV,₹ 20.88 Lakh*,SUV,,0.0
Kia,Seltos,₹ 9.89 Lakh*,SUV,1493.0,17.8
Kia,Carnival,₹ 24.95 Lakh*,MUV,2199.0,0.0
Volkswagen,Polo,₹ 5.84 Lakh*,Hatchback,1498.0,21.49
Volkswagen,Ameo,₹ 5.95 Lakh*,Sedans,1498.0,21.66
Volkswagen,Vento,₹ 8.78 Lakh*,Sedans,1498.0,22.15
Volkswagen,Tiguan,₹ 28.07 Lakh*,SUV,1968.0,16.65
Skoda,Rapid,₹ 8.81 Lakh*,Sedans,1498.0,21.72
Skoda,Octavia,₹ 15.99 Lakh*,Sedans,1968.0,19.5
Skoda,Superb,₹ 23.99 Lakh*,Sedans,1968.0,18.19
Skoda,Kodiaq,₹ 33.99 Lakh*,SUV,1968.0,16.25
Jeep,Compass,₹ 16.49 Lakh*,SUV,1956.0,17.1
Jeep,Compass Trailhawk,₹ 26.8 Lakh*,SUV,1956.0,16.3
Jeep,Wrangler,₹ 63.94 Lakh*,SUV,1998.0,12.1
Jeep,Grand Cherokee,₹ 78.88 Lakh*,SUV,2998.0,5.5
